date,DGS5,DGS30,spread,spread_EWM(1),spread_EWM(10),spread_EWM(20),spread_EWM(50),spread_EWM(100),spread_EWM(200),spread_EWM(500),spread_EWM(1000)
1977-02-15,0.0672,0.077,-0.009800000000000003,-0.009800000000000003,-0.009800000000000003,-0.009800000000000003,-0.009800000000000003,-0.009800000000000003,-0.009800000000000003,-0.009800000000000003,-0.009800000000000003
1977-02-16,0.067,0.0767,-0.0097,-0.009733333333333335,-0.009748267825516783,-0.009749133652739056,-0.009749653431960027,-0.00974982671389866,-0.009749913356689156,-0.009749965342646525,-0.009749982671321182
1977-02-17,0.0667,0.0767,-0.010000000000000009,-0.009885714285714291,-0.009838057257349226,-0.00983567004534255,-0.009834261770461405,-0.009833796495414016,-0.00983356464884853,-0.009833425795634723,-0.009833379553818408
1977-02-18,0.0682,0.0776,-0.009400000000000006,-0.009626666666666672,-0.009716907608066837,-0.009721026664114134,-0.009723428450106136,-0.009724217211854095,-0.009724609354657299,-0.009724843921812849,-0.009724921990919087
1977-02-22,0.0684,0.07769999999999999,-0.009299999999999989,-0.00940425531914893,-0.00961639388462689,-0.009628406419612679,-0.009635416062671936,-0.009637717195180577,-0.009638860910827935,-0.009639544922309043,-0.009639772554382123
1977-02-23,0.0695,0.0781,-0.008599999999999997,-0.008940540540540536,-0.009407688963741103,-0.009437638818913834,-0.00945517992768697,-0.00946094511516343,-0.009463811443911457,-0.00946552592272203,-0.009466096519916612
1977-02-24,0.0702,0.0782,-0.008000000000000007,-0.00843682008368201,-0.009153771077918567,-0.009206032524342777,-0.009236870795661491,-0.00924703824558353,-0.009252098657939222,-0.009255127154978173,-0.009256135338295716
1977-02-25,0.0699,0.0779,-0.007999999999999993,-0.00821090909090909,-0.008966853458122072,-0.009033638997915493,-0.009073564166540649,-0.009086804958327976,-0.009093408642832668,-0.009097364993135697,-0.009098682757284779
1977-02-28,0.0698,0.078,-0.008199999999999999,-0.008205362462760674,-0.00885340111610566,-0.008926176781835202,-0.008970423569779479,-0.008985210634911025,-0.008992605662607876,-0.008997042428957552,-0.008998521248556822
1977-03-01,0.0699,0.0784,-0.008499999999999994,-0.008353914327917279,-0.008805033794169293,-0.008875998541270635,-0.008920127242600792,-0.008935026406674913,-0.0089425046802837,-0.008946999927218773,-0.008948499647874503
1977-03-02,0.0693,0.0781,-0.008800000000000002,-0.00857788673694533,-0.008804389864753771,-0.008867741372946073,-0.008908378022939051,-0.00892229023198384,-0.008929307650082739,-0.008933536726072297,-0.008934949438020527
1977-03-03,0.069,0.0779,-0.008899999999999991,-0.00873927828746177,-0.008815917761459055,-0.008871002974002902,-0.00890762212338418,-0.00892035675443044,-0.008926815689330849,-0.008930719347178035,-0.00893202519531965
1977-03-04,0.0698,0.0782,-0.008400000000000005,-0.008569462943728234,-0.00876832117269058,-0.008826373044585008,-0.008865075364734432,-0.008878557461262279,-0.008885399979964173,-0.008889536905548565,-0.008890921025557802
1977-03-07,0.0699,0.0784,-0.008499999999999994,-0.008534713443864306,-0.00873900673909626,-0.008797217055572506,-0.008836479383837834,-0.008850228567884588,-0.008857219600648423,-0.008861450386046655,-0.008862866580470677
1977-03-08,0.0699,0.0784,-0.008499999999999994,-0.008517352218440447,-0.008713954270682339,-0.008772056294516491,-0.008811721695042978,-0.008825686673239044,-0.00883280078276584,-0.008837110232704759,-0.008838553447568056
1977-03-09,0.0697,0.0781,-0.008400000000000005,-0.008458668497958873,-0.008682246090903399,-0.008742076745375534,-0.008783137442800126,-0.008797629409331766,-0.00880501841385898,-0.008809496395490465,-0.00881099638133411
1977-03-10,0.0695,0.0781,-0.008599999999999997,-0.008529338831940242,-0.008674212912829833,-0.008731137326172523,-0.00877109327952193,-0.00878532928203017,-0.008792611370294958,-0.008797031908437508,-0.008798513860062099
1977-03-11,0.069,0.078,-0.008999999999999994,-0.008764677046794497,-0.008705085386018677,-0.008750986636402369,-0.008785403388736446,-0.008797989530015564,-0.00880448441156106,-0.008808444754632279,-0.008809775332333096
1977-03-14,0.0689,0.078,-0.009099999999999997,-0.008932341241646866,-0.008741496499145705,-0.008775767845282386,-0.008804156244438094,-0.008814919169836465,-0.008820539147423822,-0.008823986459048066,-0.00882514802306508
1977-03-15,0.0687,0.07780000000000001,-0.00910000000000001,-0.009016171300369318,-0.008773736986188508,-0.008797969375677903,-0.008821018269680127,-0.008830151157485755,-0.008834986741213779,-0.008837973476003121,-0.008838983210315744
1977-03-16,0.069,0.0779,-0.008899999999999991,-0.008958085414755831,-0.008784837014990004,-0.008804723428464287,-0.008825333403641316,-0.008833717302805294,-0.00883819313184299,-0.008840969026979452,-0.008841909339661497
1977-03-17,0.0694,0.07780000000000001,-0.008400000000000005,-0.008679042141880564,-0.008751699307016947,-0.008778766294893726,-0.008803007874025713,-0.008812510038709264,-0.008817529492978622,-0.008820626810053923,-0.008821673487789665
