Date,Open,High,Low,Close,Adj Close,Volume
2010-06-28,1.266667,2.028000,1.169333,1.280000,1.280000,739680000
2010-07-05,1.333333,1.333333,0.998667,1.160000,1.160000,383259000
2010-07-12,1.196667,1.433333,1.126667,1.376000,1.376000,231583500
2010-07-19,1.424667,1.483333,1.300000,1.419333,1.419333,107635500
2010-07-26,1.433333,1.433333,1.303333,1.329333,1.329333,45780000
2010-08-02,1.366667,1.478667,1.301333,1.306000,1.306000,65995500
2010-08-09,1.326667,1.332000,1.159333,1.221333,1.221333,63249000
2010-08-16,1.230000,1.306000,1.217333,1.273333,1.273333,36151500
2010-08-23,1.272667,1.359333,1.237333,1.313333,1.313333,46168500
2010-08-30,1.313333,1.420000,1.288667,1.403333,1.403333,35257500
2010-09-06,1.374000,1.403333,1.317333,1.344667,1.344667,19419000
2010-09-13,1.392667,1.544000,1.320000,1.348667,1.348667,83746500
2010-09-20,1.378000,1.436667,1.300000,1.340000,1.340000,59301000
2010-09-27,1.360000,1.476667,1.336667,1.373333,1.373333,95938500
2010-10-04,1.362000,1.418667,1.353333,1.362000,1.362000,25467000
2010-10-11,1.362667,1.402000,1.335333,1.369333,1.369333,19693500
2010-10-18,1.368000,1.396667,1.333333,1.381333,1.381333,19480500
2010-10-25,1.396000,1.458000,1.367333,1.456000,1.456000,24610500
2010-11-01,1.462667,1.688667,1.403333,1.629333,1.629333,60538500
2010-11-08,1.633333,2.033333,1.602000,1.989333,1.989333,138012000
2010-11-15,2.014667,2.196000,1.894667,2.066000,2.066000,102406500
2010-11-22,2.104667,2.400000,2.100000,2.354667,2.354667,73246500
2010-11-29,2.360667,2.428000,2.058000,2.099333,2.099333,117517500
2010-12-06,2.090000,2.194667,1.970667,2.101333,2.101333,61216500
2010-12-13,2.109333,2.118000,1.850667,2.090667,2.090667,67831500
2010-12-20,2.109333,2.190667,1.994667,2.006000,2.006000,55305000
2010-12-27,1.868000,1.905333,1.666667,1.775333,1.775333,302046000
2011-01-03,1.789333,1.905333,1.726667,1.882667,1.882667,123393000
2011-01-10,1.878000,1.914000,1.707333,1.716667,1.716667,88993500
2011-01-17,1.698667,1.709333,1.491333,1.536000,1.536000,112351500
2011-01-24,1.568667,1.672000,1.548667,1.600667,1.600667,89109000
2011-01-31,1.603333,1.648667,1.543333,1.564000,1.564000,47454000
2011-02-07,1.550667,1.683333,1.519333,1.550000,1.550000,127593000
2011-02-14,1.576000,1.699333,1.504000,1.545333,1.545333,170115000
2011-02-21,1.525333,1.590000,1.407333,1.574000,1.574000,91077000
2011-02-28,1.582667,1.666000,1.566667,1.663333,1.663333,75618000
2011-03-07,1.662000,1.693333,1.568667,1.604667,1.604667,94591500
2011-03-14,1.588000,1.600000,1.453333,1.530667,1.530667,78975000
2011-03-21,1.536667,1.536667,1.451333,1.516667,1.516667,36714000
2011-03-28,1.513333,1.914000,1.503333,1.777333,1.777333,261291000
2011-04-04,1.788667,1.862667,1.682000,1.766000,1.766000,177528000
2011-04-11,1.764667,1.768667,1.613333,1.705333,1.705333,87978000
2011-04-18,1.675333,1.798667,1.624000,1.782667,1.782667,57088500
2011-04-25,1.780000,1.858000,1.731333,1.840000,1.840000,82857000
2011-05-02,1.840000,1.853333,1.716667,1.808000,1.808000,74148000
2011-05-09,1.800000,1.930000,1.776667,1.836667,1.836667,70555500
2011-05-16,1.866000,1.896000,1.701333,1.864667,1.864667,93255000
2011-05-23,1.841333,1.984000,1.744667,1.970000,1.970000,167916000
2011-05-30,1.979333,2.100000,1.892000,2.008667,2.008667,180238500
2011-06-06,2.006667,2.008667,1.801333,1.857333,1.857333,126283500
2011-06-13,1.871333,1.980000,1.716000,1.766667,1.766667,122820000
2011-06-20,1.752667,1.883333,1.700000,1.838000,1.838000,139318500
2011-06-27,1.848667,1.973333,1.820667,1.934667,1.934667,89430000
2011-07-04,1.934667,2.000000,1.903333,1.920667,1.920667,67371000
2011-07-11,1.893333,1.939333,1.816667,1.838667,1.838667,74328000
2011-07-18,1.822667,2.029333,1.775333,1.952667,1.952667,97819500
2011-07-25,1.934000,1.950000,1.833333,1.878000,1.878000,64189500
2011-08-01,1.911333,1.946667,1.522000,1.616000,1.616000,143065500
2011-08-08,1.540000,1.809333,1.540000,1.754000,1.754000,110275500
2011-08-15,1.774667,1.783333,1.466667,1.486667,1.486667,65278500
2011-08-22,1.540667,1.596667,1.433333,1.582000,1.582000,59715000
2011-08-29,1.614667,1.700000,1.512000,1.538000,1.538000,54171000
2011-09-05,1.500000,1.602000,1.486000,1.531333,1.531333,36660000
2011-09-12,1.500000,1.722667,1.496667,1.720000,1.720000,61554000
2011-09-19,1.663333,1.796667,1.588000,1.758667,1.758667,78864000
2011-09-26,1.768000,1.799333,1.566000,1.626000,1.626000,68974500
2011-10-03,1.663333,1.840000,1.528667,1.799333,1.799333,98005500
2011-10-10,1.820667,1.903333,1.800000,1.870000,1.870000,75999000
2011-10-17,1.857333,1.895333,1.780667,1.868667,1.868667,70341000
2011-10-24,1.858000,2.000000,1.826667,1.991333,1.991333,63583500
2011-10-31,1.966667,2.166000,1.866667,2.154000,2.154000,122806500
2011-11-07,2.109333,2.300000,2.020000,2.242667,2.242667,120052500
2011-11-14,2.200000,2.333333,2.169333,2.173333,2.173333,94530000
2011-11-21,2.162667,2.186000,2.070000,2.110667,2.110667,36834000
2011-11-28,2.133333,2.266000,2.108667,2.220000,2.220000,57984000
2011-12-05,2.235333,2.333333,1.974000,2.069333,2.069333,109972500
2011-12-12,2.029333,2.062000,1.865333,1.866667,1.866667,69700500
2011-12-19,1.872667,1.900000,1.735333,1.860000,1.860000,77049000
2011-12-26,1.844000,1.956000,1.842667,1.904000,1.904000,32710500
2012-01-02,1.929333,1.966667,1.760667,1.794000,1.794000,53250000
2012-01-09,1.800000,1.908000,1.509333,1.519333,1.519333,127062000
2012-01-16,1.774667,1.849333,1.750000,1.773333,1.773333,117306000
2012-01-23,1.787333,1.981333,1.762667,1.955333,1.955333,61249500
2012-01-30,1.966000,2.088667,1.902000,2.076667,2.076667,56682000
2012-02-06,2.073333,2.193333,1.989333,2.073333,2.073333,81730500
2012-02-13,2.103333,2.331333,2.060000,2.331333,2.331333,139903500
2012-02-20,2.324667,2.331333,2.166667,2.250000,2.250000,68560500
2012-02-27,2.227333,2.300000,2.200000,2.269333,2.269333,45111000
2012-03-05,2.290000,2.354000,2.174667,2.316000,2.316000,53886000
2012-03-12,2.312667,2.439333,2.306667,2.354667,2.354667,76759500
2012-03-19,2.350667,2.354667,2.210000,2.272000,2.272000,58242000
2012-03-26,2.372667,2.663333,2.336000,2.482667,2.482667,124762500
2012-04-02,2.488667,2.564667,2.294000,2.298667,2.298667,121768500
2012-04-09,2.273333,2.298667,2.134000,2.239333,2.239333,94386000
2012-04-16,2.227333,2.248667,2.102000,2.210667,2.210667,69523500
2012-04-23,2.190667,2.242000,2.066667,2.222667,2.222667,49407000
2012-04-30,2.218000,2.292667,2.093333,2.122000,2.122000,54885000
2012-05-07,2.130667,2.312000,1.958000,2.150000,2.150000,194710500
2012-05-14,2.128000,2.142000,1.788667,1.837333,1.837333,104838000
2012-05-21,1.838667,2.089333,1.808000,1.987333,1.987333,103416000
2012-05-28,2.000667,2.128667,1.850667,1.876667,1.876667,74425500
2012-06-04,1.868667,2.012667,1.807333,2.005333,2.005333,59173500
2012-06-11,2.020667,2.066667,1.908000,1.994000,1.994000,53521500
2012-06-18,1.996000,2.300000,1.966667,2.252667,2.252667,157932000
2012-06-25,2.262667,2.274667,2.041333,2.086000,2.086000,107992500
2012-07-02,2.090000,2.120000,2.012667,2.066000,2.066000,64513500
2012-07-09,2.062667,2.293333,2.044667,2.283333,2.283333,71070000
2012-07-16,2.288000,2.400000,2.070667,2.119333,2.119333,152994000
2012-07-23,2.070000,2.086667,1.842667,1.967333,1.967333,144969000
2012-07-30,1.967333,2.016667,1.701333,1.818000,1.818000,116208000
2012-08-06,1.836667,2.060000,1.836667,1.996000,1.996000,99064500
2012-08-13,1.979333,2.086667,1.920667,2.000667,2.000667,50491500
2012-08-20,2.010000,2.056667,1.933333,1.966667,1.966667,84249000
2012-08-27,1.971333,1.980000,1.866667,1.901333,1.901333,71823000
2012-09-03,1.901333,1.971333,1.854000,1.956667,1.956667,47800500
2012-09-10,1.946667,2.043333,1.820000,2.026000,2.026000,99970500
2012-09-17,2.156667,2.185333,1.969333,2.001333,2.001333,132483000
2012-09-24,1.967333,2.068667,1.832000,1.952000,1.952000,219172500
2012-10-01,1.966667,2.006667,1.910000,1.926000,1.926000,77191500
2012-10-08,1.924000,1.960000,1.833333,1.842667,1.842667,60367500
2012-10-15,1.868000,1.932667,1.790667,1.849333,1.849333,65766000
2012-10-22,1.866000,1.904000,1.801333,1.825333,1.825333,49360500
2012-10-29,1.846667,1.970000,1.824667,1.928000,1.928000,42444000
2012-11-05,1.986667,2.136667,1.955333,2.021333,2.021333,123366000
2012-11-12,2.019333,2.141333,2.010667,2.122667,2.122667,64773000
2012-11-19,2.138000,2.231333,2.113333,2.142000,2.142000,55626000
2012-11-26,2.140000,2.286000,2.101333,2.254667,2.254667,81832500
2012-12-03,2.259333,2.333333,2.233333,2.278000,2.278000,80029500
2012-12-10,2.295333,2.386667,2.183333,2.254000,2.254000,116107500
2012-12-17,2.251333,2.350667,2.238667,2.266667,2.266667,91368000
2012-12-24,2.242667,2.300000,2.200000,2.214667,2.214667,29286000
2012-12-31,2.200000,2.363333,2.200000,2.293333,2.293333,48085500
2013-01-07,2.320000,2.320000,2.140667,2.194000,2.194000,73645500
2013-01-14,2.205333,2.323333,2.190000,2.301333,2.301333,133789500
2013-01-21,2.304000,2.514667,2.284000,2.465333,2.465333,101140500
2013-01-28,2.457333,2.580667,2.457333,2.553333,2.553333,95740500
2013-02-04,2.560000,2.666667,2.506000,2.616000,2.616000,100017000
2013-02-11,2.532000,2.610000,2.463333,2.469333,2.469333,142540500
2013-02-18,2.490667,2.643333,2.302667,2.407333,2.407333,261127500
2013-02-25,2.410000,2.450000,2.253333,2.310000,2.310000,166845000
2013-03-04,2.318000,2.629333,2.313333,2.564667,2.564667,105976500
2013-03-11,2.591333,2.632667,2.347333,2.352667,2.352667,134658000
2013-03-18,2.353333,2.470667,2.328000,2.441333,2.441333,81361500
